location,LOC,place,potential_locations,lon,lat,id,tweet,processed,triggers
"sl ii muff, Singapore",sl ii muff,"Central Region, Singapore",SL II Muffin in ,103.845807,1.2854139,787908000000000000,coz the children can smell them Ì¡åÙå÷åÒ (@ sl ii muffin in singapore) https://www.swarmapp.com/c/272pwpxxtqhÌ¢åÊ,coz the children can smell them   sl ii muffin in singapore https www swarmapp comc272pwpxxtqh,
"singapore expo hall 6, Singapore",singapore expo hall 6,"East Region, Singapore",Singapore EXPO Hall 6,103.959537,1.3335251,782520000000000000,just got to smell dr dre.. (@ singapore expo hall 6 - @singexpo in singapore)  https://www.swarmapp.com/c/8wxoh4dtvkxÌ¢åÊ,just got to smell dr dre  singapore expo hall 6 singexpo in singapore https www swarmapp comc8wxoh4dtvkx,
"river safari, Singapore",river safari,"North Region, Singapore",River Safari ,103.7906876,1.403186,777354000000000000,i still smell... ok Ì¡åÙååÕ @ river safari  https://www.instagram.com/p/bke5vlrasy1uzo9lw993hsawjmin_4q04zsgxk0/Ì¢åÊÌ¢åÛå_,i still smell ok  river safari https www instagram compbke5vlrasy1uzo9lw993hsawjmin4q04zsgxk0,
"jurong central park, Singapore",jurong central park,"West Region, Singapore",,103.7078091,1.3381428,766551000000000000,khang guan smell so strong here. #jurongcentralpark #trainingÌ¢åÛå_  https://www.instagram.com/p/bjsi0mobsmvc9qnsbbo6d_unjx_v0s1i9dtj800/Ì¢åÊÌ¢åÛå_,khang guan smell so strong here jurongcentralpark training https www instagram compbjsi0mobsmvc9qnsbbo6dunjxv0s1i9dtj800,guan
"second box in line sgbooksale, Singapore",second box in line sgbooksale,"North-East Region, Singapore",,103.8350802,1.3039634,761778000000000000,i so love the smell of books Ì¡åÙå÷åâÌ¡åÙåÒåÐ second box in line! #sgbooksaleÌ¢åÛå_  https://www.instagram.com/p/biwompiak5_va4uvlf-vv6smwkjetuubocrryi0/Ì¢åÊÌ¢åÛå_,i so love the smell of books  second box in line sgbooksale https www instagram compbiwompiak5va4uvlf vv6smwkjetuubocrryi0,
"bijin nabe,liang court, Singapore","bijin nabe,liang court","Central Region, Singapore",Bijin Nabe ,103.844632,1.291571,760085000000000000,the smell of heaven! Ì¡åÙå÷åÜ @ bijin nabe Ì¤å_å_Ì_å¼å¼Ì©åÓåÉ liang court  https://www.instagram.com/p/bikmbhpjulb/Ì¢åÊ,the smell of heaven  bijin nabe  liang court https www instagram compbikmbhpjulb,
"hotel boss, Singapore",hotel boss,"Central Region, Singapore",Hotel Boss in ,103.8603848,1.3058549,758129000000000000,smell of singapore (@ hotel boss in singapore)  https://www.swarmapp.com/c/4gubjowfvtmÌ¢åÊ,smell of singapore  hotel boss in singapore https www swarmapp comc4gubjowfvtm,
"missioncompleted city beach resort, Singapore",missioncompleted city beach resort,"Central Region, Singapore",City Beach Resort ,103.805053,1.265251,752158000000000000,the smell of blue sea Ì¡åÙåå_ #missioncompleted @ city beach resort  https://www.instagram.com/p/bhr38usjzp2hhvqz0mvffh6gd_0wimahbewana0/Ì¢åÊÌ¢åÛå_,the smell of blue sea  missioncompleted city beach resort https www instagram compbhr38usjzp2hhvqz0mvffh6gd0wimahbewana0,sea
"raffles city, Singapore",raffles city,"Central Region, Singapore",Raffles City Shopping Centre in ,103.8534331,1.2937585,744769000000000000,i smell snake oil (@ raffles city shopping centre in singapore)  https://www.swarmapp.com/c/ggmimkvhjbjÌ¢åÊ pic.twitter.com/v94wfjxygh,i smell snake oil  raffles city shopping centre in singapore https www swarmapp comcggmimkvhjbj pic twitter comv94wfjxygh,
"the strategy, Singapore",the strategy,"West Region, Singapore",The Strategy in ,103.7474722,1.3297734,740121000000000000,hai.. i can smell cvg in this place. Ì¡åÙå÷åâÌ¡åÙå÷åâÌ¡åÙå÷åâ (@ the strategy in singapore)  https://www.swarmapp.com/c/06bdeyw9mhiÌ¢åÊ,hai i can smell cvg in this place   the strategy in singapore https www swarmapp comc06bdeyw9mhi,
"home team academy, Singapore",home team academy,"West Region, Singapore",Home Team Academy in ,103.7223761,1.3728872,738526000000000000,i can smell my freedom (@ home team academy in singapore)  https://www.swarmapp.com/c/kiw5gsptj26Ì¢åÊ,i can smell my freedom  home team academy in singapore https www swarmapp comckiw5gsptj26,
"changi airport, Singapore",changi airport,"East Region, Singapore",Terminal 1,103.9915308,1.3644202,734389000000000000,london bound! smell ya later singapore Ì¡åÙåÔåÜÌ¡åÙåå_ @ terminal 1 - changi airport  https://www.instagram.com/p/bftnpqcx2-q/Ì¢åÊ,london bound smell ya later singapore  terminal 1 changi airport https www instagram compbftnpqcx2 q,bound
"jurong east mrt, Singapore",jurong east mrt,"West Region, Singapore",Jurong East MRT Interchange ,103.7420909,1.3331306,732882000000000000,why jurong interchange got tuna smellÌ¡åÙå÷å_ (@ jurong east mrt interchange (ns1/ew24) - @smrt_singapore in singapore)  https://www.swarmapp.com/c/4obofzirk42Ì¢åÊ,why jurong interchange got tuna smell  jurong east mrt interchange ns1ew24 smrtsingapore in singapore https www swarmapp comc4obofzirk42,tuna
"victoria concert hall, Singapore",victoria concert hall,"Central Region, Singapore",Victoria Concert Hall ,103.851538,1.2882349,732061000000000000,stop and smell the roses Ì¡åÙååÛ @ victoria concert hall  https://www.instagram.com/p/bfdec-4cib5/Ì¢åÊ,stop and smell the roses  victoria concert hall https www instagram compbfdec 4cib5,
"313 somerset, Singapore",313 somerset,"Central Region, Singapore",313,103.8383582,1.3008856,731774000000000000,because i wanna smell new shoes..hahaha! Ì¡åÙå÷å_ (@ 313@somerset - @313atsomerset in singapore)  https://www.swarmapp.com/c/6areysa98anÌ¢åÊ,because i wanna smell new shoes hahaha   313 somerset 313atsomerset in singapore https www swarmapp comc6areysa98an,
"holland village mrt station, Singapore",holland village mrt station,"Central Region, Singapore",Holland Village MRT Station ,103.7961408,1.3111457,729533000000000000,odd smell of gas leak coming from the mrt carriage Ì¡åÙå÷å¬ (@ holland village mrt station (cc21) - @smrt_singapore)  https://www.swarmapp.com/c/c2qdmbsvdavÌ¢åÊ,odd smell of gas leak coming from the mrt carriage   holland village mrt station cc21 smrtsingapore https www swarmapp comcc2qdmbsvdav,odd
"smellmyownjacket jacket mbs, Singapore",smellmyownjacket jacket mbs,"Central Region, Singapore",MBS ,103.8578751,1.2830096,726298000000000000,smell my own jacket is the best. Ì¡åÙå÷åâÌ¡åÙå÷åâÌ¡åÙå÷åâ #smellmyownjacket #jacket @ mbs  https://www.instagram.com/p/be0ifq6rjrw/Ì¢åÊ,smell my own jacket is the best  smellmyownjacket jacket mbs https www instagram compbe0ifq6rjrw,
"k garden karaoke, Singapore",k garden karaoke,"North-East Region, Singapore",,103.86579,1.365111,725325000000000000,the room smell like toilet (@ k-garden karaoke in singapore)  https://www.swarmapp.com/c/1jcuy0vev91Ì¢åÊ,the room smell like toilet  k garden karaoke in singapore https www swarmapp comc1jcuy0vev91,room
"pasir ris park, Singapore",pasir ris park,"East Region, Singapore",rnyelyna ,103.9517213,1.3725402,720550000000000000,smell of bbq.. teringat aku bbq hari itu @rnyelyna (@ pasir ris park in singapore)  https://www.swarmapp.com/c/jwgcxgegzc6Ì¢åÊ,smell of bbq teringat aku bbq hari itu rnyelyna  pasir ris park in singapore https www swarmapp comcjwgcxgegzc6,
"don dae bak, Singapore",don dae bak,"Central Region, Singapore",Don Dae Bak ,103.8422219,1.2808029,718831000000000000,hmmm.. we smell dae bak??? Ì¡åÙåÔåÛ @ don dae bak ÌÇååöÌÇåÎåÛÌÇå¡å¥  https://www.instagram.com/p/bd_emt7el_u76oi3v9ypd7vv75fmgahf5loizg0/Ì¢åÊÌ¢åÛå_,hmmm we smell dae bak  don dae bak  https www instagram compbdemt7elu76oi3v9ypd7vv75fmgahf5loizg0,
"garden by the bay, Singapore",garden by the bay,"Central Region, Singapore",Garden By The ,103.8636132,1.2815683,713265000000000000,take time to smell the flowers. Ì¡åÙåÎåüÌ¡åÙåÎåáÌ¡åÙåÕåÌ¡åÙåÎå_Ì¡åÙåÎå¼ @ garden by the bay-flower dome  https://www.instagram.com/p/bdxhmaemdackzs5wrc1tg_z2mtjf6ted5n22xs0/Ì¢åÊÌ¢åÛå_,take time to smell the flowers  garden by the bay flower dome https www instagram compbdxhmaemdackzs5wrc1tgz2mtjf6ted5n22xs0,
"block 135 edgedale plains, Singapore",block 135 edgedale plains,"North-East Region, Singapore",Block 135,103.9098903,1.3921233,710659000000000000,i smell home Ì¡åÙå÷åâÌ¡åÙå÷åâ (@ block 135 edgedale plains)  https://www.swarmapp.com/c/7v8xa48j0y9Ì¢åÊ,i smell home   block 135 edgedale plains https www swarmapp comc7v8xa48j0y9,
"jalan tenaga, Singapore",jalan tenaga,"East Region, Singapore",Jalan Tenaga ,103.9065967,1.3324728,709534000000000000,"can you smell what's burning? 
.
.
don't need smell also know is trees and forest Ì¡åÙå÷åá @ jalan tenaga  https://www.instagram.com/p/bc9admft7y5/Ì¢åÊ","can you smell whats burning 
 
 
dont need smell also know is trees and forest  jalan tenaga https www instagram compbc9admft7y5",
"newton edge, Singapore",newton edge,"Central Region, Singapore",Newton Edge in ,103.842001,1.3129102,704732000000000000,the smell of home. Ì¡åÙåÎå #newton #singapore #sghits #travel (@ newton edge in singapore)  https://www.swarmapp.com/c/8r0tbneyl4tÌ¢åÊ,the smell of home  newton singapore sghits travel  newton edge in singapore https www swarmapp comc8r0tbneyl4t,
"pasir ris bus interchange, Singapore",pasir ris bus interchange,"East Region, Singapore",Pasir Ris Bus Interchange in ,103.9515242,1.3696836,702451000000000000,i smell fuel (@ pasir ris bus interchange in singapore)  https://www.swarmapp.com/c/2llpobrqnotÌ¢åÊ,i smell fuel  pasir ris bus interchange in singapore https www swarmapp comc2llpobrqnot,
"white sands shopping centre, Singapore",white sands shopping centre,"East Region, Singapore",White Sands Shopping Centre in ,103.9496584,1.3724166,702450000000000000,i smell gongcha (@ white sands shopping centre in singapore)  https://www.swarmapp.com/c/8cihzra4ozfÌ¢åÊ,i smell gongcha  white sands shopping centre in singapore https www swarmapp comc8cihzra4ozf,
"pasir ris mrt station, Singapore",pasir ris mrt station,"East Region, Singapore",Pasir Ris MRT Station ,103.9493534,1.3731912,702450000000000000,i smell home (@ pasir ris mrt station (ew1) - @smrt_singapore in singapore)  https://www.swarmapp.com/c/bcsmqmhxc7dÌ¢åÊ,i smell home  pasir ris mrt station ew1 smrtsingapore in singapore https www swarmapp comcbcsmqmhxc7d,
"parkroyal on beach road, Singapore",parkroyal on beach road,"Central Region, Singapore",PARKROYAL on Beach Road in ,103.8605601,1.3000149,700597000000000000,love the smell of this hotel. the room is huge. (@ parkroyal on beach road in singapore)  https://www.swarmapp.com/c/fyfxipwadxbÌ¢åÊ pic.twitter.com/5filutubys,love the smell of this hotel the room is huge  parkroyal on beach road in singapore https www swarmapp comcfyfxipwadxb pic twitter com5filutubys,hotel
"nanyang polytechnic, Singapore",nanyang polytechnic,"North-East Region, Singapore",Nanyang Polytechnic ,103.8489487,1.37995,699877000000000000,we can already smell the finishing line. Ì¡åÙå÷å @ nanyang polytechnic  https://www.instagram.com/p/bb4zebrvywy/Ì¢åÊ,we can already smell the finishing line  nanyang polytechnic https www instagram compbb4zebrvywy,already
"marina bay sands, Singapore",marina bay sands,"Central Region, Singapore",Marina Bay Sands Casino in ,103.8596113,1.2838167,695298000000000000,i smell luck and money is coming. (@ marina bay sands casino in singapore)  https://www.swarmapp.com/c/fil1gjbtb6wÌ¢åÊ,i smell luck and money is coming  marina bay sands casino in singapore https www swarmapp comcfil1gjbtb6w,
"strictly pancakes, Singapore",strictly pancakes,"Central Region, Singapore",Strictly Pancakes ,103.8567883,1.3111027,691141000000000000,garlic butter prawn medium stack pancakes. i wish y'all could smell this! Ì¡åÙå÷åÜ @ strictly pancakes  https://www.instagram.com/p/ba6ulfxcue3/Ì¢åÊ,garlic butter prawn medium stack pancakes i wish yall could smell this  strictly pancakes https www instagram compba6ulfxcue3,
"ite college east, Singapore",ite college east,"East Region, Singapore",ITE College East ,103.9548529,1.33457,690321000000000000,i smell like some rojak perks of waking up late (@ ite college east - @itespore in singapore)  https://www.swarmapp.com/c/che9v0unc1xÌ¢åÊ,i smell like some rojak perks of waking up late  ite college east itespore in singapore https www swarmapp comcche9v0unc1x,rojak
"328 katong laksa, Singapore",328 katong laksa,"Central Region, Singapore",328,103.9032669,1.305059,689827000000000000,the toilet smell worst than shit (@ 328 katong laksa in singapore)  https://www.swarmapp.com/c/5fhgyxyxkokÌ¢åÊ,the toilet smell worst than shit  328 katong laksa in singapore https www swarmapp comc5fhgyxyxkok,toilet
"fort canning, Singapore",fort canning,"Central Region, Singapore",Fort Canning ,103.845801,1.2945126,689405000000000000,early birds! yay! i just might be able to smell nicholas petricca's sweat!Ì¡åÙå÷åâ @ fort canning  https://www.instagram.com/p/bat--z5jdbv/Ì¢åÊ,early birds yay i just might be able to smell nicholas petriccas sweat  fort canning https www instagram compbat z5jdbv,
"golden mile, Singapore",golden mile,"Central Region, Singapore",Golden Mile Complex in ,103.8651169,1.3026966,688903000000000000,pcb the smell last warning (@ golden mile complex in singapore)  https://www.swarmapp.com/c/1zyuhbfjxciÌ¢åÊ,pcb the smell last warning  golden mile complex in singapore https www swarmapp comc1zyuhbfjxci,
"vertex ubi https, Singapore",vertex ubi https,"West Region, Singapore",,103.8940362,1.3329608,688889000000000000,"breathe and smell the coffee.... we can do this!! Ì¡åÙå÷å_Ì¡åÙåÔå @ vertex, ubiÌ¢åÛå_  https://www.instagram.com/p/baquum8eo0yonjeg3vhlzausvt8q2o_jbgpv_80/Ì¢åÊÌ¢åÛå_",breathe and smell the coffee we can do this  vertex ubi https www instagram compbaquum8eo0yonjeg3vhlzausvt8q2ojbgpv80,
"at garrettpopcorn, Singapore",at garrettpopcorn,"Central Region, Singapore",,103.8216504,1.2634359,680269000000000000,"waaaahhh, the smell so good! Ì¡åÙå_åãÌ¡åÙå÷åÜÌ¡åÙå÷åâÌ¡åÙå÷åÜÌ¡åÙå_åã (at @garrettpopcorn) Ì¢åÛåÓ  https://path.com/p/2eltybÌ¢åÊ",waaaahhh the smell so good  at garrettpopcorn  https path comp2eltyb,
"books kinokuniya, Singapore",books kinokuniya,"Central Region, Singapore",Books Kinokuniya ,103.8340751,1.3031608,675643000000000000,the smell of new books. (@ books kinokuniya Ì¤å«åÛÌ_å_å_Ì´åÏåÜÌ´å±åÜÌ_åÝåüÌ´å¼åÑ in singapore)  https://www.swarmapp.com/c/4xaekw8wqkaÌ¢åÊ,the smell of new books  books kinokuniya  in singapore https www swarmapp comc4xaekw8wqka,books
"hq singapore civil defence force, Singapore",hq singapore civil defence force,"Central Region, Singapore",HQ Singapore Civil Defence Force in ,103.893113,1.3342729,671460000000000000,i miss this smell (@ hq singapore civil defence force in singapore)  https://www.swarmapp.com/c/bkhyqrws31gÌ¢åÊ,i miss this smell  hq singapore civil defence force in singapore https www swarmapp comcbkhyqrws31g,this
"river safari, Singapore",river safari,"North Region, Singapore",River Safari in ,103.7906876,1.403186,670797000000000000,here to smell poo (@ river safari in singapore)  https://www.swarmapp.com/c/1fgw1diyt9jÌ¢åÊ,here to smell poo  river safari in singapore https www swarmapp comc1fgw1diyt9j,
"basheer graphic books, Singapore",basheer graphic books,"Central Region, Singapore",Basheer Graphic Books in ,103.853549,1.29669,666450000000000000,lovin' the smell of books Ì¢åå_Ìøåüå about to get moon blossoms by katrina pallon Ì¢å÷å¼Ìøåüå (@ basheer graphic books in singapore)  https://www.swarmapp.com/c/kkwk3r6aeyzÌ¢åÊ,lovin the smell of books  about to get moon blossoms by katrina pallon   basheer graphic books in singapore https www swarmapp comckkwk3r6aeyz,
"sims avenue, Singapore",sims avenue,"Central Region, Singapore",Sims Avenue ,103.887811,1.3160559,663192000000000000,i love the smell of fresh ambition in the morning Ì¡åÙå÷å @ sims avenue  https://instagram.com/p/9zu1miy6mm/Ì¢åÊ,i love the smell of fresh ambition in the morning  sims avenue https instagram comp9zu1miy6mm,ambition
"riders cafe, Singapore",riders cafe,"Central Region, Singapore",Riders Cafe ,103.7972553,1.3429836,662831000000000000,breakfast with a view (and smell Ì¡åÙå÷åÉÌøå_åä @ riders cafe  https://instagram.com/p/9xkynbf8pm/Ì¢åÊ,breakfast with a view and smell  riders cafe https instagram comp9xkynbf8pm,
"manhatten fish market, Singapore",manhatten fish market,"Central Region, Singapore",Manhatten Fish Market ,103.7862158,1.4361934,660774000000000000,i smell something fishy Ì¡åÙååÙ @ manhatten fish market @ marina square  https://instagram.com/p/9ijanvybwa/Ì¢åÊ,i smell something fishy  manhatten fish market marina square https instagram comp9ijanvybwa,
"ang mo kio, Singapore",ang mo kio,"North-East Region, Singapore",Ang Mo Kio Ave 4,103.8454342,1.3691149,658592000000000000,home sweet home! mad tired and sticky. anyone wanna smell me??? hehe (@ ang mo kio ave 4 blk 612)  https://www.swarmapp.com/c/9yicwr0bu76Ì¢åÊ,home sweet home mad tired and sticky anyone wanna smell me hehe  ang mo kio ave 4 blk 612 https www swarmapp comc9yicwr0bu76,
"ginzatendonitsuki, Singapore",ginzatendonitsuki,"Central Region, Singapore",,103.8437567,1.2773328,656332000000000000,tried the infamous tempura bowl and totally smell like one after too.Ì¡åÙå÷åâ #ginzatendonitsuki #tempuradonÌ¢åÛå_  https://instagram.com/p/9c_izqfzxp/Ì¢åÊ,tried the infamous tempura bowl and totally smell like one after too  ginzatendonitsuki tempuradon https instagram comp9cizqfzxp,after totally
"national stadium, Singapore",national stadium,"Central Region, Singapore",National ,103.8748426,1.304013,645517000000000000,"don't worry guys, you did smell awesome =) @ national stadium, singapore  https://instagram.com/p/72i6dehyzm/Ì¢åÊ",dont worry guys you did smell awesome  national stadium singapore https instagram comp72i6dehyzm,
"orchard road, Singapore",orchard road,"Central Region, Singapore",Orchard Road in ,103.8380766,1.301674,641569000000000000,the smell of weekend Ì¡åÙå÷å± (@ orchard road in singapore)  https://www.swarmapp.com/c/lkwxlw54zg7Ì¢åÊ,the smell of weekend   orchard road in singapore https www swarmapp comclkwxlw54zg7,
"lazarus island, Singapore",lazarus island,"Central Region, Singapore",Lazarus Island ,103.8542344,1.2229878,637583000000000000,the smell of freedom...and sea water. Ì¡åÙåÎå«Ì¡åÙåå_ @ lazarus island  https://instagram.com/p/69xqxwqn0z/Ì¢åÊ,the smell of freedom and sea water  lazarus island https instagram comp69xqxwqn0z,freedom
"cook bakerandcook, Singapore",cook bakerandcook,"Central Region, Singapore",,103.8075664,1.3315915,627114000000000000,can you smell what i smell ?? freshly baked pain au levain at baker & cook #bakerandcookÌ¢åÛå_  https://instagram.com/p/5zyy5ppb3-/Ì¢åÊ,can you smell what i smell freshly baked pain au levain at baker  cook bakerandcook https instagram comp5zyy5ppb3 ,
"ion orchard, Singapore",ion orchard,"Central Region, Singapore",ION Orchard ,103.8319701,1.3039937,623065000000000000,hint: someone will smell good Ì¡åÙå÷åÎ @ ion orchard  https://instagram.com/p/5wm7cuzysg/Ì¢åÊ,hint someone will smell good  ion orchard https instagram comp5wm7cuzysg,
"vivocity, Singapore",vivocity,"Central Region, Singapore",Fish n ,103.8222071,1.2644032,619511000000000000,i smell something fishy. Ì¡åÙåÔåÎÌ¡åÙåå_ @ fish n co. @ vivocity  https://instagram.com/p/49wxyyivc-/Ì¢åÊ,i smell something fishy  fish n co vivocity https instagram comp49wxyyivc ,
"orchard mrt station, Singapore",orchard mrt station,"Central Region, Singapore",Orchard MRT Station ,103.831781,1.3040084,618736000000000000,the smell of orchard (@ orchard mrt station (ns22) - @smrt_singapore in singapore)  https://www.swarmapp.com/c/025ep2b76lxÌ¢åÊ,the smell of orchard  orchard mrt station ns22 smrtsingapore in singapore https www swarmapp comc025ep2b76lx,
"floating platform marina bay, Singapore",floating platform marina bay,"Central Region, Singapore",Floating Platform ,103.859028,1.288153,617165000000000000,pop lo!! memorable experience. the smell was great Ì¡åÙå÷å» @ floating platform @ marina bay  https://instagram.com/p/4sr0ixsuij/Ì¢åÊ,pop lo memorable experience the smell was great  floating platform marina bay https instagram comp4sr0ixsuij,
"butadon from hokkaido looks, Singapore",butadon from hokkaido looks,"Central Region, Singapore",,103.8491534,1.2781677,616110000000000000,"Ì´åÎåÑÌ_åµåáÌ©ååÒÌ£åå¨Ì¬å±å_Ì_åüå_Ì£åÛåâÌ¤å_å_Ì´åÔå_Ì£ååÑÌ£ååÌ£åå !Ì£ååÒÌ£åå¨Ì´åÎåâÌ£ååãÌ£ååÙÌ£åå_Ì£åâåäÌ£åâåÒ(*Ì¢å«Ìøå_åÄÌøå_åÛ*)Ì£åÛåâbutadon from hokkaido looks and smell delicious ÌÁåÄå_(Ì¢å«Ì¼åÁ`ÌÁåÄå_) @ butahage,Ì¢åÛå_  https://instagram.com/p/4lmicuqclb/Ì¢åÊ", butadon from hokkaido looks and smell delicious  butahage  https instagram comp4lmicuqclb,
"food centre, Singapore",food centre,"North-East Region, Singapore",Kovan 209,103.8857697,1.3083444,615651000000000000,if only i had smell-o-vision. #durian @ kovan 209 market & food centre  https://instagram.com/p/4h7zq5cwqq/Ì¢åÊ,if only i had smell o vision durian kovan 209 market  food centre https instagram comp4h7zq5cwqq,
"obarponggol sgfoodie, Singapore",obarponggol sgfoodie,"North-East Region, Singapore",,103.8991667,1.4158333,614974000000000000,garlic butter escargot baking in progress. can smell it from far Ì¡åÙå÷åÜ.  #obarponggol #sgfoodieÌ¢åÛå_  https://instagram.com/p/4dhwdnkx4r/Ì¢åÊ,garlic butter escargot baking in progress can smell it from far  obarponggol sgfoodie https instagram comp4dhwdnkx4r,
"tanjong beach club, Singapore",tanjong beach club,"Central Region, Singapore",Tanjong Beach Club ,103.828128,1.243299,611477000000000000,"""smell the sea, feel the sky. let your soul and spirit fly."" @ tanjong beach club  https://instagram.com/p/4erer1nc99/Ì¢åÊ",smell the sea feel the sky let your soul and spirit fly  tanjong beach club https instagram comp4erer1nc99,
"hm, Singapore",hm,"Central Region, Singapore",,-117.250638,33.144427,609599000000000000,the smell of sales (@ h&m - @hmsingapore in singapore)  https://www.swarmapp.com/c/hjdlyopzuboÌ¢åÊ,the smell of sales  hm hmsingapore in singapore https www swarmapp comchjdlyopzubo,
"mavrx coffee apothecary, Singapore",mavrx coffee apothecary,"Central Region, Singapore",Mavrx Coffee Apothecary in ,103.8322548,1.2930308,609250000000000000,the smell is hypnotizing! (@ mavrx coffee apothecary in singapore)  https://www.swarmapp.com/c/ffrqd6bq2qxÌ¢åÊ,the smell is hypnotizing  mavrx coffee apothecary in singapore https www swarmapp comcffrqd6bq2qx,
"adventure cove waterpark, Singapore",adventure cove waterpark,"Central Region, Singapore",Adventure Cove Waterpark Sentosa ,103.8186627,1.2587902,608954000000000000,i smell like sushi now Ì¡åÙåå_Ì¡åÙå_å£Ì¡åÙååÊ @ adventure cove waterpark sentosa  https://instagram.com/p/3ywkiwe_aq/Ì¢åÊ,i smell like sushi now  adventure cove waterpark sentosa https instagram comp3ywkiweaq,now
"place firstroadnorth multisensorymel, Singapore",place firstroadnorth multisensorymel,"Central Region, Singapore",ionorchardrd ,-77.09243719999999,38.8753727,607500000000000000,#sg50scentwalks #research for wed jun 10 finishing @ionorchardrd #smell & #place @firstroadnorth @multisensorymel pic.twitter.com/it4uyuqiq0, sg50scentwalks research for wed jun 10 finishing ionorchardrd smell  place firstroadnorth multisensorymel pic twitter comit4uyuqiq0,
"river safari, Singapore",river safari,"North Region, Singapore",River Safari ,103.7906876,1.403186,606030000000000000,"the boat ride is good,  the smell is even better!  Ì¡åÙå÷å´ @ river safari  https://instagram.com/p/3dksw4buqp/Ì¢åÊ",the boat ride is good the smell is even better  river safari https instagram comp3dksw4buqp,
"fresh mornings, Singapore",fresh mornings,"Central Region, Singapore",CityLab ,103.8449084,1.358044,605987000000000000,"""i was actually surprised to smell how clean & fresh mornings in katong smelt"" #smelldata #sg50scentwalks @citylab pic.twitter.com/dwd9r8mzie",i was actually surprised to smell how clean  fresh mornings in katong smelt smelldata sg50scentwalks citylab pic twitter comdwd9r8mzie,
"universal studios, Singapore",universal studios,"Central Region, Singapore",Universal Studios Singapore ,103.8238084,1.2540421,605210000000000000,he asked me to smell his smelly armpit Ì¡åÙå÷å_Ì¡åÙå÷å¡Ì¡åÙå÷åÉÌ¡åÙå÷å Ì¡åÙå÷åá @ universal studios singapore  https://instagram.com/p/3xvim7n1h2/Ì¢åÊ,he asked me to smell his smelly armpit  universal studios singapore https instagram comp3xvim7n1h2,
"sun korean food, Singapore",sun korean food,"Central Region, Singapore",,103.8424103,1.3004315,599859000000000000,the smell is good Ì¡åÙå÷åÜ (at sun korean food) [pic] Ì¢åÛåÓ  https://path.com/p/4qs0c3Ì¢åÊ,the smell is good  at sun korean food pic  https path comp4qs0c3,
"suntec city tower 2, Singapore",suntec city tower 2,"Central Region, Singapore",Suntec City Tower 2,103.8587243,1.2957136,597792000000000000,kinda therapeutic? not when you have to smell this scent for 8 hours straight Ì¡åÙå÷å_Ì¡åÙå÷åá @ suntec city tower 2  https://instagram.com/p/2ig8_ppp_-/Ì¢åÊ,kinda therapeutic not when you have to smell this scent for 8 hours straight  suntec city tower 2 https instagram comp2ig8ppp ,
"paulaner bruhaus, Singapore",paulaner bruhaus,"Central Region, Singapore",Paulaner ,103.8582873,1.2930767,596273000000000000,the smell of bacon is in the air. it will be a good evening. (@ paulaner brÌ£å_uhaus in singapore)  https://www.swarmapp.com/c/hutkhutpsveÌ¢åÊ,the smell of bacon is in the air it will be a good evening  paulaner bruhaus in singapore https www swarmapp comchutkhutpsve,
"parkland green east coast park, Singapore",parkland green east coast park,"Central Region, Singapore",Parkland ,103.9067351,1.2992097,594695000000000000,"fresh smell of coffee on sunday mornings Ì¢å÷å¥Ìøåüå @ parkland green, east coast park, singapore  https://instagram.com/p/2nbzxxtf4h/Ì¢åÊ",fresh smell of coffee on sunday mornings  parkland green east coast park singapore https instagram comp2nbzxxtf4h,coffee  fresh
"parkland green east coast park, Singapore",parkland green east coast park,"Central Region, Singapore",Parkland ,103.9067351,1.2992097,594695000000000000,"fresh smell of coffee on sunday mornings Ì¢å÷å¥Ìøåüå @ parkland green, east coast park, singapore  https://instagram.com/p/2nbyhgtf4f/Ì¢åÊ",fresh smell of coffee on sunday mornings  parkland green east coast park singapore https instagram comp2nbyhgtf4f,coffee  fresh
" suntec singapore convention & exhibition centre, Singapore", suntec singapore convention & exhibition centre,"Central Region, Singapore",Suntec Singapore Convention ,103.857234,1.2936846,593250000000000000,i smell adventure. @ suntec singapore convention & exhibition centre  https://instagram.com/p/2cw89nujy3/Ì¢åÊ,i smell adventure suntec singapore convention  exhibition centre https instagram comp2cw89nujy3,
"paya lebar square, Singapore",paya lebar square,"Central Region, Singapore",Paya Lebar ,103.8925678,1.3187541,590089000000000000,i smell delicious bah kut teh but can't find out where it is from #firstworldproblems (@ paya lebar square)  https://www.swarmapp.com/c/47f5yxzxmzjÌ¢åÊ,i smell delicious bah kut teh but cant find out where it is from firstworldproblems  paya lebar square https www swarmapp comc47f5yxzxmzj,
"towner road, Singapore",towner road,"Central Region, Singapore",Towner Road ,103.8585331,1.3200278,588963000000000000,i smell nenek making kuih from upstairs Ì¡åÙå÷åä oh and btw i'm crashing your bed Ì¡åÙå÷å÷ @ towner road  https://instagram.com/p/1ktronnnqw/Ì¢åÊ,i smell nenek making kuih from upstairs  oh and btw im crashing your bed  towner road https instagram comp1ktronnnqw,
"36 club street, Singapore",36 club street,"Central Region, Singapore",36,103.8460168,1.28265,587816000000000000,"i love the smell of happiness in the morning. #ichoosepeace Ì¢åå_Ìøåüå @ 36 club street, singapore  https://instagram.com/p/1cjxjfweam/Ì¢åÊ",i love the smell of happiness in the morning ichoosepeace  36 club street singapore https instagram comp1cjxjfweam,happiness
